race_id,horse_name,snapshot_label,odds,favorite_rank,available_at,bet_time,race_start_at,captured_at,plain_odds_role,plain_odds_ambiguous,available_at_ts,bet_time_ts,race_start_ts,available_at_bet_time,final_market_odds,post_market_info,closing_odds_contamination
202403020305,ウインアレース,ambiguous,5.2,,,,,,,True,,,,False,False,True,False
202403020306,アミグダラ,ambiguous,12.7,,,,,,,True,,,,False,False,True,False
202403020308,ウイングランブルー,ambiguous,38.8,,,,,,,True,,,,False,False,True,False
202403020309,ハッピーサプライズ,ambiguous,27.5,,,,,,,True,,,,False,False,True,False
202403020310,マイネルダグラス,ambiguous,31.2,,,,,,,True,,,,False,False,True,False
202403020401,ブレーヴジャッカル,ambiguous,20.6,,,,,,,True,,,,False,False,True,False
202403020402,ボムポット,ambiguous,13.4,,,,,,,True,,,,False,False,True,False
202403020403,オーサムピクチャ,ambiguous,17.5,,,,,,,True,,,,False,False,True,False
202403020407,イェルマーク,ambiguous,11.8,,,,,,,True,,,,False,False,True,False
202403020408,カムランベイ,ambiguous,6.7,,,,,,,True,,,,False,False,True,False
202403020410,サトミノマロン,ambiguous,21.7,,,,,,,True,,,,False,False,True,False
202403020503,ホウオウラムセス,ambiguous,5.6,,,,,,,True,,,,False,False,True,False
202403020505,サウンドパルム,ambiguous,6.0,,,,,,,True,,,,False,False,True,False
202403020601,フレンドビーチ,ambiguous,14.1,,,,,,,True,,,,False,False,True,False
202403020602,ゴーゴーステーツ,ambiguous,33.8,,,,,,,True,,,,False,False,True,False
202403020606,コパノオーランド,ambiguous,16.2,,,,,,,True,,,,False,False,True,False
202403020610,ウインシュクラン,ambiguous,10.0,,,,,,,True,,,,False,False,True,False
202403020611,アビッグチア,ambiguous,13.7,,,,,,,True,,,,False,False,True,False
202403020612,ハンデンカイザー,ambiguous,24.2,,,,,,,True,,,,False,False,True,False
202403020701,バム,ambiguous,40.2,,,,,,,True,,,,False,False,True,False
202403020704,ヴィーリヤ,ambiguous,8.1,,,,,,,True,,,,False,False,True,False
202403020705,マーレリアン,ambiguous,15.2,,,,,,,True,,,,False,False,True,False
202403020708,カフェアローロ,ambiguous,6.2,,,,,,,True,,,,False,False,True,False
